[2025 05 14 14:05:47] INFO 	src/logger.cpp:22 	Initialized logger successfully!
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 96/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 97/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 98/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 99/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 100/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 101/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 102/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 103/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 104/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 105/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 106/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 107/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 108/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 109/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 110/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 111/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 112/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 113/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 114/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 115/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 116/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 117/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 118/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 119/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 120/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 121/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 122/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 123/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 124/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 125/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 126/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 127/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 128/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 129/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 130/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 131/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 132/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 133/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 134/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 135/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 136/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 137/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 138/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 139/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 140/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 141/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 142/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 143/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 144/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 145/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 146/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 147/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 148/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 149/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 150/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 151/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 152/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 153/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 154/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 155/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 156/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 157/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 158/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 159/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 160/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 161/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 162/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 163/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 164/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 165/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 166/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 167/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 168/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 169/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 170/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 171/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 172/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 173/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 174/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 175/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 176/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 177/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 178/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 179/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 180/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 181/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 182/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 183/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 184/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 185/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 186/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 187/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 188/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 189/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 190/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 191/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 192/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 193/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 194/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 195/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 196/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 197/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 198/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 199/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 200/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 201/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 202/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 203/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 204/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 205/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 206/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 207/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 208/395
